Date,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger
20191201,258432,1488,286.0,2254.0,1206.0
20191202,278622,3624,316.0,2786.0,5700.0
20191203,335154,3824,374.0,3134.0,5424.0
20191204,278622,3458,228.0,2720.0,5916.0
20191205,270546,3706,334.0,2586.0,5672.0
20191206,319002,3844,490.0,4256.0,6914.0
20191207,270546,3610,466.0,2328.0,4860.0
20191208,266508,1818,284.0,2402.0,3080.0
20191209,339192,4454,336.0,3412.0,5732.0
20191210,286698,3878,458.0,2660.0,5826.0
20191211,250356,3256,268.0,2526.0,5924.0
20191212,298812,3772,400.0,3108.0,5860.0
20191213,343230,4138,472.0,3234.0,7192.0
20191214,286698,3190,316.0,2774.0,7250.0
20191215,266508,2366,368.0,1994.0,1052.0
20191216,335154,4186,432.0,3188.0,5702.0
20191217,310926,4132,394.0,2998.0,7034.0
20191218,262470,3376,258.0,2632.0,4652.0
20191219,238242,3166,288.0,2458.0,5932.0
20191220,314964,4336,440.0,3182.0,6396.0
20191221,278622,3722,412.0,2494.0,3656.0
20191222,278622,1992,296.0,2186.0,1014.0
20191223,8076,100,0.0,86.0,2.0
20200101,131290,174,129.0,1283.0,3840.0
20200102,155536,103,179.0,1451.0,2280.0
20200103,185840,97,248.0,1715.0,2556.0
20200104,159578,89,239.0,1429.0,2501.0
20200105,133320,67,138.0,1032.0,545.0
20200106,175740,104,182.0,1744.0,2715.0
20200107,127260,82,150.0,1252.0,3231.0
20200108,84840,58,98.0,845.0,1729.0
20200109,117159,88,127.0,1255.0,3267.0
20200110,157560,126,216.0,1566.0,3509.0
20200111,151500,117,205.0,1304.0,2136.0
20200112,139380,95,118.0,1223.0,535.0
20200113,141400,131,130.0,1447.0,3225.0
20200114,139380,127,177.0,1389.0,4018.0
20200115,137360,128,133.0,1299.0,2471.0
20200116,183820,178,245.0,1609.0,2725.0
20200117,159580,165,243.0,1413.0,3369.0
20200118,127260,141,125.0,1243.0,1532.0
20200119,141400,128,113.0,1230.0,522.0
20200120,161600,181,209.0,1489.0,1397.0
20200121,159580,198,161.0,1588.0,1596.0
20200122,133320,162,188.0,1203.0,466.0
20200123,151500,194,210.0,1382.0,480.0
20200124,101000,115,154.0,958.0,301.0
20200125,74740,75,91.0,569.0,5.0
20200126,80800,74,61.0,707.0,3.0
20200127,74740,87,71.0,637.0,1.0
20200128,94940,101,52.0,893.0,118.0
20200129,131300,112,167.0,1094.0,3.0
20200130,125240,150,131.0,1061.0,4.0
20200131,137360,168,167.0,1243.0,3.0
20200201,82820,117,81.0,704.0,8.0
20200202,84840,73,57.0,1731.0,18.0
20200203,109080,142,93.0,1025.0,3.0
20200204,101000,126,111.0,889.0,0.0
20200205,84840,141,105.0,772.0,4.0
20200206,125240,157,128.0,2313.0,4.0
20200207,141400,216,151.0,1243.0,5.0
20200208,111100,162,77.0,980.0,8.0
20200209,107060,112,149.0,845.0,3.0
20200210,105040,173,76.0,922.0,0.0
20200211,119180,211,122.0,1114.0,1.0
20200212,111100,174,131.0,936.0,0.0
20200213,121200,191,107.0,1097.0,1.0
20200214,105040,186,103.0,867.0,0.0
20200215,129280,229,137.0,1099.0,0.0
20200216,60600,79,47.0,583.0,3.0
20200217,34340,90,41.0,313.0,5.0
20200218,74740,203,46.0,791.0,3.0
20200219,123220,216,172.0,1057.0,1.0
20200220,147460,255,128.0,1303.0,0.0
20200221,123220,276,160.0,1037.0,0.0
20200222,175740,332,191.0,1365.0,0.0
20200223,119180,159,155.0,977.0,1.0
20200224,129280,256,123.0,1100.0,0.0
20200225,141400,330,141.0,1298.0,0.0
20200226,119180,197,123.0,1083.0,1.0
20200227,151500,343,199.0,1331.0,0.0
20200228,133320,317,150.0,1165.0,3.0
20200229,123220,276,98.0,1074.0,2.0
20200301,141400,184,137.0,1124.0,11.0
20200302,115140,260,90.0,1035.0,1.0
20200303,143420,381,137.0,1265.0,1.0
20200304,125240,259,136.0,1080.0,0.0
20200305,137360,302,120.0,1214.0,2.0
20200306,141400,379,146.0,1186.0,2.0
20200307,117160,336,146.0,963.0,0.0
20200308,101000,171,112.0,856.0,1.0
20200309,135340,347,119.0,1201.0,0.0
20200310,125240,357,94.0,1121.0,0.0
20200311,94940,227,81.0,857.0,2.0
20200312,145440,466,160.0,1286.0,2.0
20200313,133320,372,129.0,1183.0,0.0
20200314,121200,340,105.0,1065.0,4.0
20200315,96960,178,74.0,821.0,0.0
20200316,149480,399,152.0,1294.0,0.0
20200317,159580,457,159.0,1338.0,0.0
20200318,119180,289,141.0,963.0,2.0
20200319,82820,230,63.0,840.0,0.0
20200320,171700,537,139.0,1541.0,1.0
20200321,139380,373,142.0,1250.0,2.0
20200322,113120,252,117.0,939.0,2.0
20200323,143420,500,122.0,1257.0,2.0
20200324,151500,506,144.0,1296.0,0.0
20200325,147460,378,115.0,1298.0,0.0
20200326,143420,507,172.0,1200.0,2.0
20200327,109080,358,187.0,816.0,3.0
20200328,115140,429,95.0,1088.0,0.0
20200329,103020,245,85.0,913.0,1.0
20200330,147460,458,134.0,1228.0,0.0
20200331,155540,563,82.0,1455.0,3.0
20200401,113120,352,155.0,977.0,0.0
20200402,159580,573,165.0,1406.0,0.0
20200403,145440,515,213.0,1166.0,2.0
20200404,127260,515,132.0,1038.0,0.0
20200405,139380,257,129.0,1126.0,0.0
20200406,135340,445,110.0,1206.0,0.0
20200407,141400,590,128.0,1208.0,0.0
20200408,123220,441,149.0,1006.0,0.0
20200409,127260,492,188.0,1076.0,5.0
20200410,175740,644,179.0,1507.0,8.0
20200411,131300,514,167.0,1089.0,1.0
20200412,82820,205,69.0,721.0,3.0
20200413,111100,536,113.0,968.0,3.0
20200414,169680,659,182.0,1426.0,2.0
20200415,153520,526,133.0,1305.0,0.0
20200416,153520,606,166.0,1283.0,2.0
20200417,119180,571,141.0,1100.0,9.0
20200418,123220,541,118.0,1112.0,1.0
20200419,92920,223,96.0,753.0,0.0
20200420,161600,650,155.0,1414.0,3.0
20200421,133320,633,130.0,1194.0,1.0
20200422,101000,459,126.0,845.0,0.0
20200423,135340,580,148.0,1199.0,0.0
20200424,143420,654,140.0,1285.0,0.0
20200425,96960,517,74.0,889.0,0.0
20200426,137360,302,118.0,1203.0,1.0
20200427,161600,657,173.0,1357.0,0.0
20200428,151500,715,175.0,1328.0,3.0
20200429,145440,613,137.0,1241.0,1.0
20200430,137360,596,126.0,1253.0,0.0
20200501,129280,600,172.0,1069.0,0.0
20200502,113120,469,119.0,989.0,2.0
20200503,107060,278,96.0,903.0,0.0
20200504,109080,460,103.0,917.0,0.0
20200505,109080,672,89.0,1036.0,0.0
